Dependent,,,,,,,,Independent,,,,,,,
Corrected,,,,Naïve,,,,Corrected,,,,Naïve,,,
beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3
-0.267854881,-0.250833965,-0.257812027,-0.211352137,-0.113719422,-0.188992896,-0.180114394,-0.53259732,-0.25846431,-0.239898479,-0.265003115,-0.229700845,-0.243449075,-0.196737737,-0.213351936,-0.281741967
-0.275540091,-0.268735496,-0.26251112,-0.222286799,-0.16996618,-0.196169195,-0.2059023,-0.418286571,-0.244109457,-0.250946182,-0.233059549,-0.285402768,-0.274674515,-0.202210102,-0.197774792,-0.221171955
-0.279640374,-0.253208672,-0.252372028,-0.231457329,-0.190420233,-0.200239335,-0.196179489,-0.429010573,-0.273989263,-0.2614144,-0.242698904,-0.241890603,-0.290754228,-0.200791305,-0.194346211,-0.220270899
-0.261907988,-0.241418073,-0.256857891,-0.257516858,-0.154315207,-0.18952555,-0.207608687,-0.470390298,-0.265265164,-0.252143752,-0.250778575,-0.250376675,-0.259851038,-0.203884411,-0.211033605,-0.262173985
-0.267599615,-0.266929037,-0.250652293,-0.215355586,-0.155889341,-0.206996232,-0.207760614,-0.422027265,-0.2513431,-0.249297291,-0.262147715,-0.248808333,-0.239742424,-0.207880348,-0.202873363,-0.247862809
-0.23255947,-0.250417571,-0.243918238,-0.265682013,-0.165700681,-0.190624614,-0.203975886,-0.486709386,-0.23649765,-0.254007509,-0.247021265,-0.254388326,-0.266505344,-0.207486731,-0.189578371,-0.286185712
-0.271895434,-0.265296499,-0.254289707,-0.20294556,-0.173060731,-0.208762784,-0.190077434,-0.452177157,-0.252269056,-0.251104572,-0.23546042,-0.242191848,-0.273638318,-0.203089678,-0.193010089,-0.252358271
-0.26416972,-0.246694997,-0.249179988,-0.280265092,-0.165478446,-0.199056875,-0.192158262,-0.462210874,-0.268027487,-0.252057346,-0.250418773,-0.272472613,-0.276872244,-0.202793915,-0.204139635,-0.244511798
-0.23173516,-0.259893047,-0.239574149,-0.245350191,-0.126975063,-0.185799951,-0.195163863,-0.501553136,-0.233212484,-0.238463208,-0.234639977,-0.243123103,-0.247889729,-0.199015886,-0.212627222,-0.258189756
-0.2715143,-0.246500059,-0.255170052,-0.225755512,-0.16345489,-0.203085622,-0.21424997,-0.427720156,-0.270090751,-0.246711969,-0.268321125,-0.227697839,-0.251264084,-0.212251395,-0.210493903,-0.2571722
-0.2593523,-0.239319006,-0.263063767,-0.261841321,-0.158760077,-0.183653181,-0.195632239,-0.475663669,-0.257684669,-0.234820272,-0.257254272,-0.264644414,-0.281128237,-0.200643337,-0.192453998,-0.234316266
