pv ,fp100,fp200
0,0.01,0.01
0.005050505,0.01,0.01
0.01010101,0.01,0.01
0.015151515,0.01,0.01
0.02020202,0.02,0.02
0.025252525,0.02,0.02
0.03030303,0.02,0.02
0.035353535,0.02,0.02
0.04040404,0.03,0.02
0.045454545,0.03,0.02
0.050505051,0.04,0.02
0.055555556,0.04,0.02
0.060606061,0.05,0.02
0.065656566,0.05,0.02
0.070707071,0.06,0.03
0.075757576,0.06,0.03
0.080808081,0.06,0.04
0.085858586,0.06,0.04
0.090909091,0.07,0.04
0.095959596,0.07,0.04
0.101010101,0.08,0.05
0.106060606,0.08,0.05
0.111111111,0.08,0.08
0.116161616,0.08,0.08
0.121212121,0.1,0.1
0.126262626,0.1,0.1
0.131313131,0.11,0.12
0.136363636,0.11,0.12
0.141414141,0.12,0.14
0.146464646,0.12,0.14
0.151515152,0.12,0.14
0.156565657,0.12,0.14
0.161616162,0.12,0.17
0.166666667,0.12,0.17
0.171717172,0.13,0.19
0.176767677,0.13,0.19
0.181818182,0.14,0.19
0.186868687,0.14,0.19
0.191919192,0.15,0.19
0.196969697,0.15,0.19
0.202020202,0.17,0.19
0.207070707,0.17,0.19
0.212121212,0.17,0.22
0.217171717,0.17,0.22
0.222222222,0.17,0.22
0.227272727,0.17,0.22
0.232323232,0.2,0.22
0.237373737,0.2,0.22
0.242424242,0.21,0.23
0.247474747,0.21,0.23
0.252525253,0.23,0.24
0.257575758,0.23,0.24
0.262626263,0.23,0.24
0.267676768,0.23,0.24
0.272727273,0.23,0.26
0.277777778,0.23,0.26
0.282828283,0.25,0.27
0.287878788,0.25,0.27
0.292929293,0.27,0.28
0.297979798,0.27,0.28
0.303030303,0.27,0.3
0.308080808,0.27,0.3
0.313131313,0.27,0.32
0.318181818,0.27,0.32
0.323232323,0.28,0.34
0.328282828,0.28,0.34
0.333333333,0.31,0.35
0.338383838,0.31,0.35
0.343434343,0.33,0.37
0.348484848,0.33,0.37
0.353535354,0.33,0.4
0.358585859,0.33,0.4
0.363636364,0.34,0.41
0.368686869,0.34,0.41
0.373737374,0.34,0.41
0.378787879,0.34,0.41
0.383838384,0.34,0.41
0.388888889,0.34,0.41
0.393939394,0.35,0.41
0.398989899,0.35,0.41
0.404040404,0.36,0.41
0.409090909,0.36,0.41
0.414141414,0.36,0.43
0.419191919,0.36,0.43
0.424242424,0.38,0.44
0.429292929,0.38,0.44
0.434343434,0.4,0.44
0.439393939,0.4,0.44
0.444444444,0.4,0.45
0.449494949,0.4,0.45
0.454545455,0.4,0.45
0.45959596,0.4,0.45
0.464646465,0.4,0.48
0.46969697,0.4,0.48
0.474747475,0.41,0.48
0.47979798,0.41,0.48
0.484848485,0.41,0.5
0.48989899,0.41,0.5
0.494949495,0.42,0.5
0.5,0.42,0.51
