mccm11,mccm12,mccm13,mccm21,mccm22,mccm23,dc1,dc2,dc3,cvm1,cvm2,cvm3,ks1,ks2,ks3
0.19,0.1,0,0.2,0.11,0,0.03,0,0,1,1,1,1,1,1
0.05,0.02,0,0.06,0.04,0,0.05,0,0.03,0,1,1,0,1,1
0.34,0.01,0,0.17,0.1,0,0.1,0.05,0,1,1,1,1,1,1
0.03,0.08,0,0.08,0,0,0.2,0.06,0,1,1,1,1,1,1
0.76,0.04,0,0.29,0,0.01,0.03,0.02,0,1,1,1,0,1,1
0.74,0,0,0,0,0,0,0,0.01,0,1,1,0,1,1
0.04,0.01,0.08,0,0,0.08,0.27,0.03,0,1,1,1,0,1,1
0.05,0,0.03,1,0,0.01,0.14,0.15,0,1,1,1,1,1,1
0.05,0.02,0,0.35,0,0,0.08,0.01,0,1,1,1,1,1,1
0.19,0,0.04,0,0.17,0,0.76,0.01,0.02,1,1,1,1,1,1
0.01,0,0.01,0.09,0,0,0.79,0,0,1,1,1,1,1,1
0.23,0.07,0,0.04,0.09,0,0.05,0.01,0,1,1,1,0,1,1
0,0,0.02,0.59,0.09,0,0.19,0,0,1,1,1,1,1,1
0.14,0.02,0.01,0.09,0.08,0,0.13,0,0,1,1,1,0,1,1
0.02,0.07,0,0.06,0,0,0.03,0,0,1,1,1,0,1,1
0.84,0,0.01,0,0,0,0,0,0,1,1,1,1,1,1
0,0.04,0.01,0.57,0.18,0.01,0.64,0.01,0,1,1,1,1,1,1
0.6,0.01,0.01,0.1,0,0.03,0.18,0.01,0,1,1,1,0,1,1
0.06,0,0,0.75,0.03,0,0,0,0,1,1,1,0,1,1
0,0.27,0.01,0.01,0,0,0.05,0.03,0,1,1,1,0,1,1
0.83,0.01,0,0.03,0.01,0,0.08,0,0,1,1,1,1,1,1
0.02,0.15,0.01,0.01,0,0.03,0.21,0,0,0,1,1,0,1,1
0.2,0.58,0.12,0.37,0.01,0,0.06,0.02,0,1,1,1,1,1,1
0,0.02,0,0.04,0.66,0,0.14,0,0.01,1,1,1,1,1,1
0.09,0.01,0.44,0.03,0.02,0,0.42,0.01,0,1,1,1,1,1,1
0.03,0.03,0,0.01,0.01,0,0.28,0,0,1,1,1,1,1,1
0.03,0.01,0.01,0.04,0.06,0,0.67,0,0,1,1,1,1,1,1
0.38,0.06,0,0.12,0,0.18,0.15,0.01,0,1,1,1,1,1,1
0.4,0,0,0.07,0.06,0,0.29,0.09,0,1,1,1,1,1,1
0,0,0.02,0.04,0,0,0.02,0.03,0,1,1,1,1,1,1
0.07,0,0,0.01,0.05,0.01,0.22,0.1,0,1,1,1,0,1,1
