Dependent,,,,,,,,Independent,,,,,,,
Corrected,,,,Naive,,,,Corrected,,,,Naive,,,
beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3
-0.205068417,-0.240719694,-0.248280917,-0.295649687,-0.240519018,-0.224868041,-0.230046894,-0.243672678,-0.208359663,-0.262621385,-0.232445611,-0.2955819,-0.282693577,-0.212583943,-0.175753503,-0.166355171
-0.232736996,-0.218100003,-0.252744324,-0.188545818,-0.160530064,-0.207641205,-0.207499245,-0.440472797,-0.257662213,-0.240116944,-0.278457554,-0.168792615,-0.2441945,-0.206619695,-0.200926764,-0.288335711
-0.225407967,-0.269312295,-0.256184992,-0.250605154,-0.11080624,-0.206600354,-0.192829732,-0.460251599,-0.186287787,-0.226340879,-0.275815407,-0.290883199,-0.195261831,-0.201814627,-0.199692797,-0.285560698
-0.258380616,-0.279040796,-0.223952341,-0.195179945,-0.144363318,-0.20490293,-0.200528572,-0.401397609,-0.2509011,-0.232449891,-0.230635937,-0.216604901,-0.234052681,-0.177571245,-0.174060964,-0.221558965
-0.195889709,-0.217061762,-0.238718386,-0.365822597,-0.217121981,-0.198034121,-0.221496051,-0.422443237,-0.236218838,-0.240170111,-0.227651733,-0.271793933,-0.304993148,-0.17877584,-0.19990686,-0.228963954
-0.278578551,-0.256166138,-0.272974166,-0.19288895,-0.126244811,-0.201876478,-0.184070499,-0.339500295,-0.249809279,-0.236152163,-0.255527802,-0.251981443,-0.235503444,-0.195052489,-0.21877577,-0.164345369
-0.266730987,-0.247163914,-0.249524756,-0.245343268,-0.147653373,-0.178356753,-0.227240474,-0.391049499,-0.286693837,-0.289059905,-0.27192632,-0.227024326,-0.233321982,-0.18254308,-0.219780274,-0.226734663
-0.257036053,-0.260236296,-0.265855753,-0.116695383,-0.173594846,-0.210757953,-0.223724064,-0.391224471,-0.222934638,-0.243720371,-0.266233883,-0.204576913,-0.224056293,-0.190406872,-0.185452348,-0.273738942
-0.329770588,-0.259706945,-0.270450302,-0.221091165,-0.205475832,-0.21926943,-0.204896795,-0.363135231,-0.305589771,-0.273591115,-0.245483651,-0.26450826,-0.271364259,-0.189970021,-0.15941221,-0.231317144
-0.233045641,-0.269864565,-0.234268373,-0.283624541,-0.140542695,-0.197906139,-0.179761856,-0.500578682,-0.215580445,-0.238807344,-0.213155819,-0.274738858,-0.271817425,-0.174646662,-0.196064205,-0.239514315
-0.247014478,-0.277673237,-0.238068594,-0.171489148,-0.214365672,-0.23583033,-0.214514686,-0.308597577,-0.223046566,-0.252126066,-0.21980089,-0.215543722,-0.248262518,-0.193071306,-0.19236842,-0.231276007
