mb1n1,mb1n2,mb1n3,mb2n1,mb2n2,mb2n3,mb3n1,mb3n2,mb3n3,mb4n1,mb4n2,mb4n3,mccm21,mccm22,mccm23,dc1,dc2,dc3,cvm1,cvm2,cvm3,ks1,ks2,ks3
0.38,0,0.07,0.36,0,0,0,0,0,0,0,0,0.01,0,0,0.39,0,0,1,1,1,1,1,1
0,0,0,0,0.02,0.01,0,0,0,0.04,0,0,0.02,0,0,0,0.07,0,1,1,1,1,1,1
0.36,0,0.43,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1,1,1,1,1,1
0.06,0.13,0,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0.02,0.03,0.02,1,1,1,0,1,1
0,0.36,0.25,0.56,0.87,0,0,0,0,0.01,0,0,0.01,0,0,0.03,0.05,0,0,0,1,0,0,1
0,0.22,0.25,0,0,0,0,0,0,0.22,0,0,0.03,0,0,0.09,0.09,0.01,1,0,1,1,0,1
0.15,0.3,0.09,0,0.01,0,0,0,0,0.03,0,0,0.01,0,0,0,0.03,0.01,1,1,1,1,0,1
0.45,0.21,0,0.01,0,0,0.01,0,0,0.01,0,0,0.06,0,0,0.19,0,0,1,1,1,1,1,1
0.61,0,0,0.25,0.01,0.02,0,0,0,0,0,0,0.01,0,0,0.09,0,0,1,1,1,1,1,1
0,0.28,0,0,0,0,0,0,0,0.03,0,0,0.37,0,0,0.08,0.06,0.06,0,0,1,0,0,1
0,0,0,0.49,0.03,0,0,0,0,0.04,0,0,0,0,0,0.26,0.08,0.01,1,1,1,0,1,1
0.19,0.04,0,0.15,0,0,0,0,0,0,0,0,0.03,0,0,0.35,0.01,0.03,1,1,1,0,1,1
0.31,0,0,0.04,0.06,0.02,0,0,0,0,0,0,0,0,0,0.13,0.04,0,1,1,1,1,0,1
0.37,0,0.72,0.36,0.74,0,0,0,0,0,0,0,0,0,0,0.09,0.03,0,0,1,1,0,1,1
0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.03,0.02,0,1,1,0,1,1
0.01,0.24,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,1,1,0,1,1
0.52,0.17,0.02,0.11,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0.01,1,1,1,1,1,1
0.01,0.13,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.44,0.01,0,0,1,1,0,0,1
0,0.09,0.46,0.1,0.06,0,0,0,0,0.01,0,0,0,0,0,0.14,0.02,0,0,1,1,0,0,1
0,0,0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,1,1,0,1,1
0,0,0.1,0,0.42,0,0,0,0,0.14,0,0,0.01,0,0,0.6,0.02,0.01,1,1,1,0,1,1
0.24,0.26,0,0.14,0,0.02,0,0,0,0.42,0,0,0,0,0,0.04,0.03,0,0,1,1,1,1,1
0,0.12,0.61,0.64,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0.25,0,0,1,1,1,1,1,1
0,0.67,0,0.07,0,0.08,0,0,0,0,0.01,0,0,0,0,0.2,0.06,0,1,1,1,1,1,1
0.28,0,0,0.07,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0.02,0,1,1,1,1,0,1
0,0,0.26,0.15,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1,1,1,1,1,1
0.39,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.05,1,1,1,1,1,1
0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,1,1,1,0,1,1
0.68,0,0,0.04,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,1,1,0,1,1
0.78,0,0.28,0.14,0.08,0,0,0,0,0.01,0,0,0,0,0,0.03,0.03,0.07,1,1,1,1,1,1
0.08,0,0,0.4,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0,0,1,1,0,1,1
0,0,0,0.04,0.13,0,0,0,0,0,0.07,0,0.01,0,0,0,0,0,0,1,1,0,1,1
0.39,0,0.26,0.87,0.01,0,0,0,0,0.08,0,0,0,0,0,0.14,0,0.01,0,1,1,0,1,1
0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.03,0,1,1,1,0,1,1
0.03,0,0.81,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0.35,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,1,0,1,1,0,1
0.42,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.01,0,1,1,1,1,1
0.41,0.08,0.04,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0,0,1,1,0,1,1
0,0,0.49,0.21,0,0,0,0,0,0,0,0,0,0,0,0.32,0.01,0.01,0,1,1,0,1,1
0.12,0,0.67,0.25,0.14,0,0,0,0,0.01,0,0,0,0,0,0.02,0.01,0.02,1,1,1,1,1,1
0.29,0.22,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.42,0.03,0,0,1,1,0,1,1
0.45,0,0.79,0.06,0.21,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,1,1,0,1,1
0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1,1,1,1,1,1
0.15,0,0.16,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0.16,0.09,0.02,1,1,1,0,1,1
0,0.41,0,0.11,0,0,0,0,0,0,0,0,0.04,0.01,0,0.54,0,0,1,1,1,0,1,1
0.39,0,0,0.02,0.03,0,0,0,0,0.01,0,0,0.06,0,0,0.25,0.02,0,1,1,1,1,1,1
0.11,0,0,0.04,0,0.01,0,0,0,0.01,0,0,0,0,0,0.07,0.03,0,1,1,1,1,1,1
0,0,0.01,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0.41,0.01,0,0,1,1,0,1,1
0.56,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0.05,1,1,1,1,0,1
0,0.25,0,0.12,0.01,0,0,0,0,0.02,0,0,0,0,0,0.17,0.04,0,1,1,1,1,1,1
0,0.22,0.39,0,0.31,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1,1,1,1,1,1
0.33,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1,1,1,1,1,1
0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,1,1,1,1,1,1
0,0,0,0.03,0.02,0,0,0,0,0,0,0,0.05,0,0,0.55,0.02,0,1,1,1,1,0,1
0,0.77,0,0.07,0.07,0,0,0,0,0.02,0,0,0,0,0,0.08,0.21,0,1,1,1,1,1,1
0.08,0,0,0.03,0,0,0,0,0,0.21,0,0,0,0,0,0.03,0.06,0,0,1,1,0,1,1
0.08,0.43,0.49,0.01,0.12,0,0,0,0,0,0,0,0.04,0,0,0.1,0,0,1,1,1,1,1,1
0,0.13,0,0.03,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0.06,0.01,1,1,1,1,1,1
0.53,0,0.25,0.03,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,1,1,0,1,1
0.01,0,0.18,0.03,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,1,1,1,0,1,1
0,0.22,0,0.05,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0,0.1,0,1,1,0,1,1
0,0.64,0.59,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,1,1,1,0,1,1
0.26,0.06,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.15,0.03,0,0,1,1,0,1,1
0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1,1,1,1,1,1
0.21,0,0.21,0,0.08,0,0,0,0,0,0,0,0,0,0,0.18,0.01,0,0,1,1,0,1,1
0.32,0.21,0.56,0.07,0,0.04,0,0,0,0,0,0,0.01,0,0,0.02,0,0,1,1,1,0,1,1
0.77,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.24,0.03,0,1,1,1,0,1,1
0.17,0,0,0.09,0.01,0,0,0,0,0,0,0,0.03,0,0,0.01,0.05,0.02,0,1,1,0,1,1
0.58,0.04,0.72,0.15,0,0,0,0,0,0,0.02,0,0,0,0,0.21,0.04,0,1,1,1,0,1,1
0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.13,0.29,0,0,1,1,0,1,1
0.08,0.23,0,0.03,1,0,0,0,0,0,0,0,0,0.03,0,0.05,0.01,0.02,0,1,1,0,1,1
0.55,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.02,1,1,1,1,1,1
0.3,0.12,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0.42,0,0,1,1,1,0,1,1
0,0.13,0.01,0.05,0.88,0,0,0,0,0,0,0,0.02,0,0,0.26,0,0,1,1,1,1,1,1
0,0,0.12,0.02,0,0,0,0,0,0.02,0,0,0.01,0,0,0.19,0.31,0.03,1,1,1,0,1,1
0,0,0.79,0.11,0,0,0,0,0,0,0,0,0.01,0,0,0.23,0.08,0.01,1,1,1,0,0,1
0,0,0.03,0.23,0,0,0,0,0,0.03,0,0,0.11,0,0,0.03,0.03,0,1,1,1,1,1,1
