0.25I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n=100     B=100,,,,,n=100  B=200,,,,,Naïve,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naïve,,,,,n=100     B=100,,,,,n=100  B=200,,,,,Naïve,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.195459303,-0.243333778,-0.170947985,-0.418247752,5.340090182,-0.195407468,-0.243079719,-0.17102881,-0.418513205,5.338059312,-0.138278325,-0.240511178,-0.192985685,-0.364961969,5.101591632,-0.16611628,-0.230953363,-0.226046673,-0.388799973,4.784048618,-0.165408686,-0.230607122,-0.22586932,-0.389811744,4.786372075,-0.261972322,-0.253555635,-0.234512354,-0.225882644,5.185401155,-0.176360295,-0.240054741,-0.147179275,-0.484732827,5.125685391,-0.175219667,-0.238526616,-0.147856761,-0.486963569,5.119742242,-0.08707076,-0.210961387,-0.156861404,-0.491209658,4.688850886,-0.165999304,-0.231427954,-0.232611165,-0.379588243,4.824815012,-0.165435776,-0.230701379,-0.232072134,-0.381081408,4.82419967,-0.200273411,-0.223478823,-0.192156682,-0.362247816,4.610594912
-0.31649266,-0.281052071,-0.289717779,-0.026912133,6.215881709,-0.255928196,-0.284668795,-0.322811353,-0.069886101,7.34884611,-0.372811827,-0.330100328,-0.27597244,0.011452868,4.295421752,-0.358873364,-0.303747176,-0.2600538,-0.146789875,5.836075024,-0.100684848,-0.209763572,-0.22310316,-0.467664718,4.768594063,-0.185725717,-0.21115382,-0.202466441,-0.425612813,4.675680836,-0.32141182,-0.307251641,-0.298802983,0.014981828,6.744254131,-0.33059124,-0.31702523,-0.366867861,0.100373781,10.10446469,-0.309067851,-0.262508204,-0.244481074,-0.182257321,3.631234152,-0.36764267,-0.295815842,-0.274254147,-0.123481879,6.209234169,-0.086078005,-0.207336579,-0.218143741,-0.487279427,4.77512829,-0.13732108,-0.175806224,-0.169516624,-0.555527104,4.200040393
-0.384473965,-0.286044911,-0.266807861,-0.026745971,4.40170098,-0.439903632,-0.272283072,-0.387793774,0.152664549,5.507493667,-0.334624916,-0.230073326,-0.19514091,-0.247128784,4.488352832,-0.183734744,-0.210589053,-0.264383087,-0.338637152,5.568587523,-0.313679881,-0.250465823,-0.278506362,-0.207775298,4.980731808,-0.201100051,-0.167961748,-0.262109305,-0.336941013,5.152246102,-0.376714804,-0.285114798,-0.267453962,-0.036203464,4.354105737,-0.513506613,-0.346222017,-0.422660813,0.341614212,6.400006872,-0.28177131,-0.205057609,-0.168577606,-0.360354736,4.182272828,-0.185238904,-0.202269455,-0.276560733,-0.345718495,5.788558012,-0.348604615,-0.285300159,-0.286978847,-0.091032475,5.30654552,-0.11136479,-0.122073837,-0.209153977,-0.551052108,4.544466752
-0.254800347,-0.169071423,-0.215924166,-0.379535137,5.066803572,-0.166578022,-0.194023252,-0.263320318,-0.355220007,6.103158188,-0.225217809,-0.222290966,-0.222765735,-0.386116672,5.281086141,-0.204403634,-0.255179342,-0.220747112,-0.311445602,4.364452526,-0.361408269,-0.291271916,-0.252570338,-0.194399475,3.748665055,-0.099087061,-0.195637835,-0.196888201,-0.513382915,6.279544292,-0.246222126,-0.143437871,-0.246465385,-0.380629915,5.197108855,-0.172648678,-0.19385412,-0.252915387,-0.351023986,6.090049047,-0.184049955,-0.185890974,-0.19654532,-0.500710572,4.769424222,-0.20847269,-0.245823518,-0.226614117,-0.320172068,4.227206346,-0.390484443,-0.309244066,-0.262543215,-0.134340746,3.818293029,-0.059718422,-0.168051609,-0.165316908,-0.62057095,5.60152036
-0.345698814,-0.283167086,-0.313964761,0.016343039,6.034735706,-0.293116253,-0.286816696,-0.27334596,-0.086203692,6.222137904,-0.181058974,-0.201730065,-0.233171635,-0.342440426,4.431559168,-0.13962534,-0.232484883,-0.242971848,-0.422899981,4.827689885,-0.357627091,-0.282603562,-0.286883719,-0.132405183,4.650998887,-0.231702476,-0.224646415,-0.238517431,-0.287862908,4.602521397,-0.373352407,-0.303941217,-0.322809688,0.089111406,6.511289623,-0.282854099,-0.299168157,-0.277610539,-0.062238022,6.53562373,-0.119309624,-0.160871502,-0.203055084,-0.484245183,4.01563283,-0.124850958,-0.222412008,-0.236663443,-0.470112189,4.623839964,-0.330628627,-0.266385269,-0.298040696,-0.175650817,4.632639463,-0.183451408,-0.204374771,-0.19567798,-0.418653223,4.247591486
-0.176643636,-0.2409929,-0.163661375,-0.284149047,6.198649002,-0.242130115,-0.260827492,-0.218575253,-0.233055404,5.069946623,-0.228781749,-0.289367306,-0.22007511,-0.290591482,4.385924923,-0.199258474,-0.267404719,-0.238448107,-0.328477287,5.68009665,-0.187415604,-0.220298956,-0.221506673,-0.376366695,4.523249223,-0.150061516,-0.231311189,-0.242464926,-0.36073223,4.911339404,-0.19401936,-0.238595539,-0.17052878,-0.271084756,6.192890133,-0.279456609,-0.246898024,-0.234819813,-0.201286782,4.820331023,-0.168450306,-0.262587383,-0.170246011,-0.433432598,3.783565628,-0.194250351,-0.276806874,-0.23265323,-0.30709223,5.987128062,-0.195329897,-0.239605013,-0.222618806,-0.346558656,4.731557236,-0.094288467,-0.193265845,-0.212632481,-0.48502266,4.443642375
0.05072772,-0.203709199,-0.137602914,-0.739840178,5.289075807,-0.293582057,-0.230884351,-0.242954736,-0.300024037,4.496471793,-0.400833556,-0.297283593,-0.286819759,-0.043122293,5.193133042,-0.206692934,-0.213291037,-0.234777358,-0.390180187,5.116345208,-0.258627076,-0.219793272,-0.233119982,-0.239717848,5.197775871,-0.229951664,-0.281548516,-0.226774208,-0.228492146,5.715635816,0.059718827,-0.227555097,-0.11919993,-0.741340778,5.423723406,-0.298594443,-0.235716577,-0.225519695,-0.321999553,4.359508007,-0.342504465,-0.259545781,-0.243048748,-0.228201168,4.167669344,-0.248639345,-0.223539096,-0.260411977,-0.298247749,5.303853942,-0.277355019,-0.228387067,-0.242109398,-0.195516406,5.357416337,-0.186185446,-0.264027436,-0.199282365,-0.329445594,5.394601097
-0.155515085,-0.23740898,-0.202699966,-0.45124783,3.703138061,-0.290458051,-0.272871326,-0.243305126,-0.155197333,5.091592541,-0.130373798,-0.179312775,-0.209918354,-0.51962951,4.902962137,-0.312703598,-0.283652804,-0.279988518,-0.037580924,6.285500029,-0.226903536,-0.219829238,-0.2276584,-0.264648786,4.752402112,-0.190309164,-0.248145238,-0.246314098,-0.304777133,5.074324845,-0.10479458,-0.208053272,-0.195898492,-0.563789017,3.359601055,-0.368695302,-0.319485841,-0.251952056,-0.00672452,5.1928918,-0.056927637,-0.130367511,-0.156619615,-0.708284639,4.254955107,-0.338564454,-0.300554522,-0.283581162,-0.001425017,6.911991841,-0.239679788,-0.227677983,-0.230744101,-0.229419496,4.749472319,-0.117086424,-0.205845937,-0.200276437,-0.491596549,4.480301633
-0.204499393,-0.283729775,-0.177574092,-0.268504587,6.199339746,-0.191766095,-0.173132762,-0.308265766,-0.217494958,5.66357499,-0.260410948,-0.223155011,-0.22438134,-0.354182947,4.552606082,-0.22519888,-0.190869117,-0.232587404,-0.364597121,4.788328345,-0.265143961,-0.248430462,-0.288595314,-0.177544654,6.768736467,-0.362241432,-0.288919133,-0.252120034,-0.09986213,5.29648719,-0.215438306,-0.286622842,-0.189808447,-0.253139747,6.996527675,-0.163391511,-0.168502585,-0.295001897,-0.247046636,5.496869189,-0.201313746,-0.175236456,-0.198620463,-0.497140126,4.12402005,-0.213960778,-0.175302675,-0.234684768,-0.392606984,4.738548839,-0.294300693,-0.261869275,-0.308831651,-0.102300394,7.679005355,-0.333096269,-0.260002705,-0.226350749,-0.189916976,4.816847431
-0.224461735,-0.262534142,-0.318094072,-0.180520153,6.911942616,-0.309481035,-0.331925566,-0.231350165,-0.07074958,5.34638948,-0.256556546,-0.21966092,-0.318355789,-0.224445068,5.344472139,-0.30120258,-0.323904003,-0.265239616,-0.110030527,5.647871796,-0.265368999,-0.262634646,-0.223465297,-0.19703045,5.193327135,-0.199808957,-0.184191964,-0.293998544,-0.317501368,5.610005236,-0.24852484,-0.269912674,-0.331726171,-0.132880958,7.188367275,-0.336216051,-0.385380645,-0.199339396,0.005594671,5.595083393,-0.184512934,-0.200472424,-0.271313251,-0.356628331,4.898670596,-0.302015094,-0.312997922,-0.28995762,-0.100025916,5.619459231,-0.249591683,-0.268978855,-0.214135625,-0.210341307,5.162809221,-0.126658352,-0.147408255,-0.255903473,-0.47787545,4.933698032
