MCCL,,,,,,,,,,Naïve,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.069550885,0.041222787,0.036923671,0.130756358,0.701331381,-0.166118284,-0.231476403,-0.232647652,-0.379410085,4.823869793,0.062060821,0.027188946,0.027391196,0.112271212,0.477519593,-0.2000698,-0.2234681,-0.192150966,-0.362505002,4.61213875
0.05534847,0.03768771,0.032504811,0.096626165,0.769111361,-0.36761753,-0.295756471,-0.274289106,-0.123486881,6.210571177,0.061829863,0.029487056,0.025856878,0.100683522,0.481525008,-0.1373766,-0.175796033,-0.169518078,-0.555479068,4.199835257
0.065401341,0.040181451,0.036022682,0.11627839,0.752678551,-0.1851395,-0.202259881,-0.27655948,-0.345856243,5.789152069,0.059206486,0.029569856,0.031160948,0.098734822,0.464398645,-0.11118714,-0.12200285,-0.209116929,-0.551314563,4.544357593
0.0760941,0.0346741,0.045797197,0.142885061,0.593214036,-0.208452815,-0.245826214,-0.226607796,-0.320247869,4.226936079,0.052231886,0.021837457,0.027619175,0.091693181,0.683249692,-0.059802515,-0.168033902,-0.16529378,-0.620598452,5.600539482
0.065439718,0.031016426,0.040748146,0.114566135,0.623501941,-0.124860489,-0.222442174,-0.236732434,-0.47001368,4.622461336,0.056002067,0.030135091,0.025969877,0.096276393,0.548839148,-0.183434408,-0.204391393,-0.195732771,-0.418620188,4.247768624
0.066335649,0.031695771,0.029612265,0.113944542,0.816926611,-0.194384206,-0.276837218,-0.232711375,-0.306763403,5.986131167,0.063745745,0.025071179,0.024327981,0.100615779,0.60426723,-0.094272479,-0.19326464,-0.21263441,-0.485011073,4.44391963
0.063619892,0.034574908,0.035016646,0.134029778,0.68843779,-0.248682107,-0.223542786,-0.260424636,-0.298160105,5.303774948,0.050305163,0.02729352,0.025356881,0.085998446,0.619911607,-0.186209686,-0.264027081,-0.199340365,-0.329414021,5.393767754
0.063793766,0.03230449,0.028061446,0.113786202,0.968194033,-0.338638378,-0.300526468,-0.283607088,-0.001617657,6.909679426,0.065964191,0.030324178,0.031782448,0.116934171,0.470880602,-0.117233305,-0.205804604,-0.200368317,-0.491504989,4.478827203
0.063710237,0.035460901,0.03470052,0.103898889,0.633111188,-0.213944898,-0.175379235,-0.234611851,-0.392288833,4.742644678,0.060058935,0.028726518,0.027316007,0.098006308,0.540199659,-0.333085919,-0.260031406,-0.226306275,-0.189919911,4.817253715
0.080735404,0.034758794,0.04589062,0.132525067,0.780816285,-0.301013718,-0.31267146,-0.289226796,-0.101863966,5.610092392,0.056818532,0.026650972,0.025814453,0.084150781,0.561014041,-0.126681728,-0.147430607,-0.255885015,-0.477827658,4.933626869
