MCCL1,,,,,MCCL2,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.222949892,-0.231405718,-0.30423892,-0.321244525,4.603780784,-0.26984523,-0.281540419,-0.27022366,-0.221630567,4.926107395,-0.258712996,-0.245277091,-0.250321611,-0.24895956,5.102671537
-0.213752634,-0.252528491,-0.222439416,-0.231523377,5.360334612,-0.228273813,-0.24496401,-0.253508385,-0.253239155,4.470627361,-0.292115347,-0.274102073,-0.244247987,-0.290859511,3.768031366
-0.323287433,-0.261271187,-0.287124382,-0.141767526,4.702401254,-0.211122587,-0.259092152,-0.254351752,-0.271897269,4.728444372,-0.21301225,-0.221238534,-0.232403615,-0.322851528,5.089426912
-0.260787662,-0.234068517,-0.22373635,-0.350042055,4.07378835,-0.279961211,-0.27421698,-0.250543071,-0.321158861,6.60618025,-0.142563447,-0.229772044,-0.23682635,-0.34256175,5.942782428
-0.229464781,-0.299910694,-0.202696369,-0.282521279,6.286606431,-0.270026057,-0.3140387,-0.202192287,-0.194705676,5.151670865,-0.114705457,-0.237045661,-0.204599947,-0.419877802,5.456077818
-0.339729821,-0.277326797,-0.231657263,-0.113215784,4.496670763,-0.112745719,-0.253920015,-0.218355469,-0.338641411,6.314264255,-0.204403819,-0.256070785,-0.226995715,-0.177588099,6.105486286
-0.313830848,-0.258577061,-0.26545084,-0.14941708,4.68775133,-0.215938448,-0.203230731,-0.229067885,-0.368585716,4.513666914,-0.211688859,-0.189078885,-0.218041449,-0.366452892,4.758649452
-0.249654203,-0.299183865,-0.247949266,-0.20886455,5.405862581,-0.256776909,-0.260213039,-0.267963356,-0.208875502,5.070090162,-0.182937164,-0.237621437,-0.256012473,-0.36088032,4.360842172
-0.219819935,-0.229147116,-0.224423643,-0.330324065,4.588923436,-0.298227583,-0.250432777,-0.284245771,-0.220365981,4.831058515,-0.262367577,-0.250857386,-0.299604048,-0.264635705,4.446694085
-0.113034013,-0.222881863,-0.22766925,-0.445846011,5.903006396,-0.26415153,-0.266484668,-0.260760407,-0.184513831,4.70254862,-0.285826114,-0.242609729,-0.242620637,-0.326501601,3.605044397
-0.258902748,-0.203160995,-0.265439398,-0.228477549,4.76826107,-0.265219959,-0.254089374,-0.256910807,-0.319877163,4.847974258,-0.27117024,-0.265152492,-0.240760935,-0.204659425,5.788450676
-0.391819028,-0.30794045,-0.268075604,-0.050608558,5.059827859,-0.203555785,-0.275779094,-0.267544619,-0.252096254,7.701987315,-0.278956338,-0.220291946,-0.246923104,-0.290460477,4.774273392
-0.251147282,-0.32264918,-0.210574021,-0.236892019,4.144667779,-0.165819921,-0.261169938,-0.218938982,-0.320383687,5.269465615,-0.269435054,-0.211240516,-0.26881273,-0.194980024,4.101202579
-0.203008844,-0.24030037,-0.218398025,-0.301664428,5.611902019,-0.381749107,-0.328149456,-0.375422655,0.223727948,5.031902205,-0.155430203,-0.250062034,-0.18228938,-0.427079705,4.662362708
-0.199246831,-0.221041177,-0.240275749,-0.324747479,5.079396997,-0.419996374,-0.293013824,-0.341943063,0.106710655,7.340921826,-0.285724829,-0.239251566,-0.260506188,-0.240726541,4.420634558
-0.242343731,-0.245324621,-0.25251484,-0.207595657,4.814749447,-0.201963477,-0.187503011,-0.244918424,-0.419641394,4.843134959,-0.275824416,-0.279083536,-0.283658796,-0.16709433,4.80753693
-0.246450964,-0.220226824,-0.289873646,-0.239466785,5.020788048,-0.227215741,-0.249290328,-0.209157044,-0.324484873,5.273410621,-0.161766208,-0.183194234,-0.211812769,-0.465141433,4.472163222
-0.25234712,-0.228750192,-0.277523168,-0.200585877,5.289399271,-0.202207903,-0.247216257,-0.200541893,-0.314554183,6.535053895,-0.163642294,-0.230383148,-0.21506683,-0.445229189,6.035615754
-0.297208586,-0.259938386,-0.302526143,-0.101599898,5.109924648,-0.270727128,-0.242523664,-0.293480246,-0.246761,5.538789606,-0.168418363,-0.224794007,-0.257488146,-0.324403141,6.409996988
-0.275923091,-0.288980038,-0.25723889,-0.179563442,5.342041819,-0.213355932,-0.219790778,-0.21719475,-0.376794837,4.285281842,-0.171073573,-0.257093134,-0.228535747,-0.3609213,5.148216707
-0.20656517,-0.277476394,-0.231207825,-0.214801736,4.333162685,-0.25129895,-0.238473027,-0.247707132,-0.192230211,5.715799452,-0.085059943,-0.248513421,-0.144233796,-0.542278793,5.202398841
-0.196876227,-0.245675175,-0.244191646,-0.325681264,5.841520261,-0.296098852,-0.18307045,-0.319354071,-0.185538747,4.210720441,-0.291543941,-0.240676208,-0.255260044,-0.226635593,5.361932811
-0.279858483,-0.246844746,-0.269400259,-0.192995042,6.190578364,-0.214057521,-0.260906164,-0.26878953,-0.329430326,5.167923515,-0.113027054,-0.199665722,-0.227992599,-0.464933755,5.452969422
-0.299919999,-0.264914623,-0.224552208,-0.205057984,4.792482687,-0.183688181,-0.236788215,-0.255160058,-0.278236234,6.628934716,-0.31856961,-0.292009914,-0.250184884,-0.229422177,4.897296021
-0.237970764,-0.254230451,-0.22272251,-0.269946851,6.175566962,-0.341299147,-0.317417767,-0.29231293,-0.006506631,5.665032558,-0.156429189,-0.2062907,-0.227497527,-0.347183456,5.254289783
