0.25I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n=100     B=100,,,,,n=100  B=200,,,,,Naive,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naive,,,,,n=100     B=100,,,,,n=100  B=200,,,,,Naive,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naive,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.443871209,-0.293448389,-0.387745788,-0.025762047,6.11149865050755,-0.440388549,-0.293690021,-0.385816689,-0.028556011,6.10932813503298,-0.41503764,-0.216835744,-0.346097497,-0.330413493,5.34435238695912,-0.447908186,-0.293551247,-0.335339244,0.086638367544421,4.84418595163622,-0.448987473,-0.294104664,-0.335673068,0.088447715732382,4.84555962953343,-0.202455121,-0.240097372,-0.234717574,-0.367450383,5.46059196962613,-0.487328252,-0.339909082,-0.366674327,-0.054127648,6.45285371448803,-0.47856965,-0.337053563,-0.361949235,-0.071909495,6.43094839799143,-0.33439894,-0.175851684,-0.303757617,-0.464615788,5.19215241229809,-0.482692666,-0.281319144,-0.376607575,0.120657935206254,4.95363765952353,-0.488748477,-0.284094204,-0.379113344,0.126903138346945,4.9645664606749,-0.107347929,-0.200274454,-0.191604968,-0.517715462,5.33803458176229
-0.109161124,-0.248515145,-0.179820753,-0.863705827,5.97136679948349,-0.242347443,-0.169490626,-0.169213744,-0.557343193,5.77693634759018,-0.006484247,-0.029986924,-0.252177405,-1.026401986,4.5217682522966,0.0109488731292205,-0.116745281,-0.198676982,-0.41405062,5.36654016631998,-0.570284274,-0.326639666,-0.340380974,0.163584800198797,4.91313490082368,-0.401398242,-0.319023884,-0.32544777,0.0605473153652661,5.25236721097184,-0.200075927,-0.314093793,-0.217602226,-0.819377122,6.22709418915785,-0.162654495,-0.133202497,-0.133938501,-0.689205194,5.60776684151406,0.0332359789472149,-0.008881641,-0.218874184,-1.07675651,4.42859275737925,0.0497446649741894,-0.08435477,-0.186380216,-0.476028863,5.27766369008774,-0.610460207,-0.332456975,-0.373929104,0.240419275206793,5.0249127546817,-0.380071377,-0.315258279,-0.296326448,-0.012579861,5.29920851056075
-0.067492569,-0.225709862,-0.250100736,-0.638546491,4.52111018378231,-0.096253684,-0.421137832,0.0175132555755666,-0.883493966,5.38033243850901,0.0789445278903728,-0.189023459,-0.275099124,-0.464696606,4.33782393450655,-0.462538793,-0.361838828,-0.276576459,-0.0780465,5.49631824329837,-0.206307831,-0.315007429,-0.22816274,-0.02136052,4.74289156962533,-0.220889375,-0.339652693,-0.141065925,-0.38428045,5.47129447598792,-0.080425121,-0.26768478,-0.228025229,-0.597904407,4.51388104840657,-0.224403685,-0.492584664,-0.042097408,-0.662308277,5.37457619547311,0.161778446583355,-0.168634248,-0.228885616,-0.617148847,4.24075667744509,-0.516647329,-0.369706915,-0.307334551,-0.049760016,5.58808075593952,-0.204668942,-0.309499017,-0.246969318,-0.00686016,4.70265673441384,-0.155909205,-0.30482409,-0.10904633,-0.523047458,5.42240478255516
-0.306867497,-0.357182806,-0.391576282,0.106579604139737,4.98188532401759,-0.417677229,-0.33738515,-0.179265896,0.010368036118781,5.75156945096579,-0.307750592,-0.239147583,-0.293820925,0.00824714925836172,5.60504371807694,-0.385907371,-0.203187297,-0.356715221,-0.101487176,4.57062899718906,-0.083269035,-0.213827681,-0.230879736,-0.145744431,3.72810679766023,-0.508807145,-0.281315661,-0.349645917,0.193635220296818,6.71104316637027,-0.425309392,-0.416259676,-0.455012001,0.180586929563497,5.23358099215389,-0.397943812,-0.323049966,-0.152064873,0.00155049180849677,5.6511804076016,-0.255968246,-0.193707514,-0.273174028,-0.085587427,5.46123610128392,-0.445545435,-0.218874535,-0.387887608,-0.019645483,4.69406500224447,-0.128567155,-0.240611751,-0.235918646,-0.065830293,3.7399094317868,-0.447403201,-0.2489874,-0.31126971,0.0839741242168721,6.61456018108064
-0.015263778,-0.182727215,-0.095281592,-0.906682247,5.55551652484822,-0.110798624,-0.195243478,-0.204305993,-0.63492941,6.00121456567281,-0.269876075,-0.289899246,-0.213427026,-0.309446317,4.73733579748636,-0.55099849,-0.342018358,-0.288066623,0.171783164696479,5.2555199169325,0.0329274002611245,-0.153959394,-0.195723649,-0.525482634,4.56422715355714,-0.235726633,-0.298980579,-0.213425483,-0.349004057,4.57562936955598,0.0129456341291064,-0.171064166,-0.079678122,-0.971141028,5.50131791684718,-0.094131526,-0.190506812,-0.20652571,-0.649213451,6.01009268753686,-0.261557786,-0.311553788,-0.181299091,-0.336149466,4.76829489086331,-0.600842028,-0.371847424,-0.304206218,0.207892455638181,5.45409898002069,0.0828188821103968,-0.144926119,-0.172690194,-0.601997696,4.50539074217477,-0.141576709,-0.223064488,-0.184346654,-0.526339412,4.39952900166416
-0.559346265,-0.320229924,-0.451090709,-0.335621288,6.03705178174742,-0.445998686,-0.31210032,-0.316382202,-0.246989322,5.46800183472889,-0.265624556,-0.20760544,-0.221914389,-0.174884232,4.68056654088511,-0.331925922,-0.249801335,-0.248875299,0.040070856723483,5.21056492250552,-0.385258531,-0.336183461,-0.322928867,0.0267300620278922,4.27805933135094,-0.363136212,-0.217879046,-0.237350736,-0.186881597,5.02222412965127,-0.564371381,-0.305871773,-0.445905391,-0.361648978,6.14409074082139,-0.554690171,-0.341290465,-0.35739828,-0.153479945,5.70707051611019,-0.184843231,-0.170728803,-0.186581881,-0.270815327,4.53083254604734,-0.268233658,-0.240723074,-0.208378673,-0.039139764,5.06797978160866,-0.346166667,-0.324722773,-0.316457196,-0.039070999,4.20149612413339,-0.268655504,-0.189005994,-0.177898845,-0.330519741,4.91387769046671
-0.894590121,-0.393132605,-0.49052916,0.878708955349028,5.17684602712364,-0.171623377,-0.29919214,-0.200208034,-0.205638715,4.91278178370322,0.0909144456199902,-0.169420437,-0.081110541,-0.833981068,5.97418232393462,-0.425694292,-0.324395366,-0.332214174,0.238313528564954,5.02998330889536,-0.213069829,-0.316652168,-0.249300444,-0.291640237,4.82232547998669,-0.233464955,-0.160350062,-0.299370056,-0.456745588,5.31794795535306,-0.921323382,-0.40328386,-0.50602454,0.946857632398563,5.30419552651436,-0.246159898,-0.323499464,-0.227112277,-0.123691111,5.07862998998151,0.0962777988426022,-0.185592979,-0.052546563,-0.874465363,6.05067980955748,-0.554973286,-0.356637106,-0.403662636,0.425988169957004,5.18738951768363,-0.22788269,-0.343357807,-0.243227029,-0.295166604,4.85400435037816,-0.117302003,-0.11151663,-0.232929454,-0.649390167,5.05394271304996
-0.267018742,-0.201617229,-0.311106785,-0.095067682,4.1262118783272,-0.569589401,-0.344352643,-0.398284457,0.0497724077366488,5.50287995342496,-0.550167146,-0.391443591,-0.279396434,0.186799472836524,5.9960951684657,-0.201288863,-0.216516056,-0.227038923,-0.803804969,5.77871052551439,-0.363459145,-0.347123746,-0.297988327,-0.175681376,4.86817753634187,-0.373350259,-0.272291445,-0.218058685,-0.262858104,5.23436344884159,-0.362207787,-0.259253489,-0.35256764,0.0128991864482756,4.33407112001277,-0.876420688,-0.434804669,-0.517763886,0.38691691184951,6.01001185868856,-0.518415977,-0.379107056,-0.228090107,0.0684938787583489,6.08744936649041,-0.22045437,-0.203018746,-0.255085378,-0.834466675,5.81407346683454,-0.518338608,-0.437154765,-0.349192458,0.0791157371029581,5.09746585975656,-0.202685321,-0.215101539,-0.118574353,-0.530857573,5.02379258048875
-0.267258172,-0.129315194,-0.358433819,-0.434682095,5.19972920815113,-0.257017521,-0.373695509,-0.087947651,-0.508484021,5.5713232009176,-0.268172248,-0.259357767,-0.322760013,-0.116957458,4.84046967130031,-0.26251985,-0.30875675,-0.278132561,-0.135507963,4.90896536410988,-0.235801848,-0.284780071,-0.170217699,-0.330472588,6.21289196019622,0.0110163456317522,-0.152948348,-0.192556896,-0.654479135,5.10191333084402,-0.218212525,-0.107270218,-0.322936728,-0.538623434,5.01943942714731,-0.241028417,-0.373189288,-0.082372067,-0.536350197,5.60623896252672,-0.162140336,-0.237960379,-0.248820081,-0.276351886,4.65836920797505,-0.268654459,-0.307050682,-0.279706606,-0.120423551,4.94169346278599,-0.27381314,-0.313158203,-0.173401038,-0.29149957,6.24742472620111,0.0995888166761058,-0.10548332,-0.153771084,-0.803822299,4.95889190236543
-0.371418954,-0.266222085,-0.188754655,-0.213453222,6.6654554299367,-0.178537499,-0.126824492,-0.296212135,-0.496725786,5.2613884110995,-0.149350274,-0.308159592,-0.074380216,-0.426288349,5.4064379772997,-0.099009031,-0.05237394,-0.26102825,-0.580296248,5.80999550981535,-0.28442893,-0.229131255,-0.356241069,-0.361304283,5.44125983846455,-0.133498521,-0.289867249,-0.067318245,-0.45782558,6.07906731614196,-0.322039858,-0.282412155,-0.138707614,-0.291208491,6.63268630224668,-0.140116727,-0.068703546,-0.317756399,-0.527145057,5.23014378278695,-0.102396887,-0.268403532,-0.079892967,-0.507056863,5.26241288890229,-0.12653985,-0.039417511,-0.295742113,-0.545411725,5.87021925927183,-0.337891561,-0.251877322,-0.384965699,-0.312643777,5.6134609681905,-0.091295712,-0.253887392,-0.056581256,-0.524632561,5.88393232264926
-0.44409758,-0.309261565,-0.281352734,-0.084427437,6.10762320455801,-0.526452085,-0.40630554,-0.36128109,0.0457786488451183,5.04649981659776,0.173767370814194,-0.072823364,-0.262930057,-0.671635435,3.99211922660113,-0.30145893,-0.306782264,-0.271208351,0.041770586727335,4.39055266984328,-0.465255067,-0.212947262,-0.326748136,-0.272620519,5.16142116117908,-0.540245888,-0.350834438,-0.304214857,0.0660846110943083,5.38016533366409,-0.430634162,-0.304271162,-0.26245724,-0.084262068,5.9951728268863,-0.707730859,-0.498501395,-0.414366853,0.33838378704017,5.28228958348435,0.267156732669067,-0.061825954,-0.1963163,-0.809010164,3.85272170546287,-0.272308883,-0.302747914,-0.267536475,-0.017079736,4.36310611060173,-0.447948757,-0.200981152,-0.31918873,-0.327082484,5.1025261065849,-0.447318103,-0.313101815,-0.246478862,-0.099175583,5.21756972294605
-0.149450889,-0.254761091,-0.153589397,-0.134418092,5.51449562925893,-0.326617592,-0.154720753,-0.277086188,-0.357198713,6.25404418879356,-0.092604254,-0.217947801,-0.155676891,-0.259700186,4.67862940030186,-0.232159949,-0.296102553,-0.170352165,-0.346245101,4.87573240699863,-0.236062146,-0.242296722,-0.203516277,-0.043906203,4.95900140491091,-0.296880866,-0.247388939,-0.208570017,-0.187258428,5.15887963776907,-0.133214666,-0.24758829,-0.135726237,-0.175338455,5.54745456462082,-0.332813471,-0.147731043,-0.292275349,-0.303261615,6.20053875737319,-0.028043242,-0.161321176,-0.154540281,-0.361998179,4.63356192805825,-0.279064798,-0.343153987,-0.165635138,-0.27488295,4.94018604341824,-0.283655599,-0.284212517,-0.21333905,0.0697779481920981,5.04716073445393,-0.192109831,-0.206201234,-0.168069631,-0.35880767,5.03485575087727
