MCCL1,,,,,MCCL2,,,,,Naive,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.272823912,-0.219415335,-0.193758883,-0.073638508,4.83872915863325,-0.188611892,-0.252800409,-0.194599257,-0.298291101,5.47575356739318,-0.186417146,-0.23896507,-0.235934023,-0.396209523,5.42052074122828
-0.336392847,-0.223143019,-0.321077545,-0.203586068,5.04132668514014,-0.469409374,-0.37400776,-0.276089917,-0.118456905,4.97686388609627,-0.105922747,-0.174177351,-0.19993655,-0.221840557,4.13979346
-0.168623887,-0.254356127,-0.190026647,-0.501165395,5.0482756953759,-0.335423709,-0.126104777,-0.340151145,-0.19426636,4.71099916705584,-0.257131144,-0.290748132,-0.239755385,-0.168811588,5.06311248795665
-0.172777032,-0.2562507,-0.263331409,-0.092147187,4.20810819306294,-0.195401496,-0.226238657,-0.282845222,0.0685047597928391,6.26450260837053,-0.321597996,-0.193155757,-0.270686358,-0.442098831,6.30044767764315
-0.338803712,-0.136938839,-0.397877853,-0.120203869,5.99948843047321,-0.390185078,-0.198265229,-0.338935216,-0.181740156,5.60141076631153,-0.381804357,-0.22630189,-0.313755717,-0.129701115,5.50539133241652
-0.112772188,-0.176910547,-0.284327654,-0.56450682,4.53933323070213,-0.286753755,-0.161681572,-0.258787493,-0.628552871,5.63516762553297,-0.330689618,-0.294290569,-0.218050568,-0.676150393,6.71410122434471
-0.155916385,-0.291897398,-0.202773123,-0.396971664,4.68311993697517,-0.473056074,-0.361322253,-0.336434281,0.0173703566920692,4.83949705677602,-0.220579217,-0.294461341,-0.259679698,-0.238456211,4.86231009666395
-0.32136447,-0.209429206,-0.263307495,-0.211379099,5.17704282138415,-0.207325688,-0.245349504,-0.220740328,-0.185617483,4.57383516969695,-0.31497858,-0.290665521,-0.184408041,-0.160542505,4.65858018115008
-0.282702686,-0.266842865,-0.30715154,-0.175695881,4.73073567772221,-0.211272375,-0.243684306,-0.179788627,-0.351198323,4.41118392457934,-0.116344182,-0.175573403,-0.136137145,-0.297507742,4.41120839259815
-0.509681402,-0.313599439,-0.291083644,0.157240139999257,5.70613165213153,-0.112205621,-0.253301301,-0.157917533,-0.416466003,4.40726069868458,-0.052340519,-0.169007181,-0.225477599,-0.22571969,3.8479526852897
-0.314178125,-0.394233416,-0.244321665,-0.358746953,4.78395402630784,-0.28756956,-0.300326266,-0.200034233,-0.112412935,4.90632646791365,-0.22744179,-0.215963955,-0.282560003,-0.42694087,6.22633651395498
0.0943655818516736,-0.12622586,-0.191448697,-0.749458423,5.27855299068464,-0.477023002,-0.222211461,-0.256960568,-0.040142386,6.42900920924745,-0.148806251,-0.280031922,-0.16058979,-0.212815809,5.10216328811537
-0.106224876,-0.066208793,-0.25606658,-0.367407679,4.10027443682689,-0.237386411,-0.126749961,-0.285048209,-0.487931605,5.25731656935944,-0.144656721,-0.267559005,-0.157717439,-0.674620274,4.5722578842135
-0.254102801,-0.239009634,-0.261872221,-0.337553429,5.44289367907152,-0.069812298,-0.109074671,-0.026650067,-1.17401889,5.03708862900971,-0.234601643,-0.145397358,-0.313948038,-0.318155238,4.77379257630193
-0.268798935,-0.29211218,-0.236734831,-0.267763303,4.77541585423675,-0.021770998,-0.161949769,-0.17654778,-0.70012067,5.56678957695985,-0.008229858,-0.185428371,-0.177991041,-0.576237894,4.87708087101477
-0.202731274,-0.248917593,-0.196439052,-0.511284587,4.67127618504134,-0.295645351,-0.351650459,-0.207190937,-0.061355444,5.76607664982954,-0.057300332,-0.137420005,-0.110208983,-0.582930757,4.58930254463194
-0.141123916,-0.23850583,-0.138329512,-0.439919731,4.5955232625989,-0.263445457,-0.189828496,-0.349620009,-0.088593961,4.64865622713587,-0.274988165,-0.299412209,-0.238591608,-0.085079351,5.01252582317649
-0.191415385,-0.268803216,-0.179728022,-0.425094253,5.12703470012213,-0.368891494,-0.342840406,-0.302572871,-0.276504151,6.09611221053839,-0.28217368,-0.192718884,-0.254094249,-0.07679845,6.42210747849492
-0.212964803,-0.27857966,-0.15407637,-0.49399248,5.1442328279548,-0.153582396,-0.268927218,-0.124093171,-0.283548239,5.37116496595594,-0.386891984,-0.280473367,-0.18873858,-0.263871604,6.19405698567906
-0.195335115,-0.215503077,-0.246049061,-0.434052316,5.16124498861545,-0.318298762,-0.267987184,-0.286552807,-0.115777192,4.6372826875469,-0.198211265,-0.144917431,-0.238691504,-0.36042694,5.54586078902168
-0.328223544,-0.195284537,-0.289348212,-0.436466566,4.3082503068509,-0.256840752,-0.247042407,-0.233921327,-0.579725512,5.65797410003143,-0.486742598,-0.249834696,-0.406667716,0.0673719017646707,5.17922823173523
-0.330609763,-0.298372992,-0.222762848,-0.09860362,5.89829851864183,-0.280881687,-0.483741695,-0.095228882,-0.220766464,4.2631588114138,-0.107403742,-0.22655173,-0.18976041,-0.380936645,5.85604141233835
-0.208395027,-0.29399113,-0.187473899,-0.247178903,6.31557824,-0.443661067,-0.259872077,-0.307605955,0.0853436876506542,5.96721031187879,-0.4284619,-0.308909986,-0.242652006,-0.024614703,5.48214055742316
-0.24086236,-0.211003887,-0.347105272,-0.30780553,5.1211570334638,-0.2733273,-0.243302255,-0.190941365,-0.335725044,5.51846416300704,0.0193780092978494,-0.126416449,-0.174566112,-0.396159838,4.96341832205312
-0.313298934,-0.281639344,-0.260247054,-0.20418185,6.06978111402831,-0.239847265,-0.24619191,-0.350707939,-0.368287412,5.36007293162645,-0.390176987,-0.362926525,-0.204300636,-0.331758251,5.34034863629028
-0.374733761,-0.211038194,-0.318750828,-0.252616103,5.40011314311478,-0.284698162,-0.271828039,-0.243953013,-0.281767965,5.55401311514268,-0.310535398,-0.316544885,-0.352706618,0.153631284977875,4.53229999673403
-0.278111887,-0.332891405,-0.267647783,-0.149484753,6.20762192239057,-0.082889751,-0.195151176,-0.154013364,-0.437716861,5.64261477945273,-0.14676899,-0.263414175,-0.210991541,-0.465500203,5.46714583478492
0.0509600015545106,-0.125591278,-0.180226279,-1.092932308,5.8158075097976,-0.270239226,-0.212741501,-0.306755705,-0.216277136,6.04765280567985,-0.257407849,-0.376415879,-0.139436987,-0.368378208,5.13107939714862
