# Simulation Results in Table 1 
# 
# Table 1 -- median
            [,1]       [,2]       [,3]       [,4]     [,5]
 [1,] -0.2453150 -0.2495827 -0.2547736 -0.2474274 5.312821
 [2,] -0.2498753 -0.2499850 -0.2550102 -0.2329216 5.279424
 [3,] -0.2190567 -0.2333414 -0.2355276 -0.3064293 5.034068
 [4,] -0.2526982 -0.2514573 -0.2519100 -0.2432853 5.148081
 [5,] -0.2482440 -0.2516941 -0.2508125 -0.2492311 5.144546
 [6,] -0.2137016 -0.2333808 -0.2364535 -0.3198298 4.894771
 [7,] -0.2498053 -0.2512267 -0.2571186 -0.2339617 5.428279
 [8,] -0.2564103 -0.2543360 -0.2573228 -0.2151647 5.319372
 [9,] -0.1586831 -0.1977771 -0.2004865 -0.4486505 4.506238
[10,] -0.2529616 -0.2527732 -0.2529091 -0.2393411 5.176056
[11,] -0.2512320 -0.2526036 -0.2535089 -0.2423944 5.194722
[12,] -0.1541318 -0.1985658 -0.2005906 -0.4595103 4.372064
# 
# Table 1 -- interquartile
            [,1]       [,2]       [,3]      [,4]      [,5]
 [1,] 0.12543838 0.06074310 0.06234800 0.2025251 1.2110459
 [2,] 0.12083042 0.06181225 0.06197879 0.2130219 1.2434189
 [3,] 0.12053643 0.05177107 0.05366584 0.1930085 1.1770214
 [4,] 0.08767261 0.04431450 0.04140639 0.1492073 0.8519279
 [5,] 0.08976629 0.04309965 0.04004549 0.1489025 0.8622641
 [6,] 0.08378955 0.04048571 0.04164145 0.1320506 0.7622651
 [7,] 0.14134405 0.07460076 0.07253781 0.2443815 1.3948615
 [8,] 0.13732678 0.07274002 0.07722355 0.2643625 1.4352470
 [9,] 0.12049068 0.05194455 0.05215265 0.1930599 1.0319380
[10,] 0.09388006 0.05223338 0.05056549 0.1787504 0.9932530
[11,] 0.09900525 0.05016430 0.04888131 0.1668857 1.0334567
[12,] 0.08434992 0.03970052 0.04166731 0.1356348 0.7156480
