# Simulation Results in Table B.11 
# 
# Table B.11 -- median
            [,1]       [,2]       [,3]       [,4]     [,5]
 [1,] -0.2715450 -0.2588543 -0.2530020 -0.2526677 5.298465
 [2,] -0.2687807 -0.2594990 -0.2487495 -0.2625751 5.277057
 [3,] -0.2360890 -0.2421635 -0.2354642 -0.3168903 5.233057
 [4,] -0.2560824 -0.2517336 -0.2522616 -0.2599055 5.143607
 [5,] -0.2599075 -0.2534886 -0.2501924 -0.2452292 5.105592
 [6,] -0.2425976 -0.2411770 -0.2349142 -0.2913935 5.106697
 [7,] -0.2880202 -0.2669273 -0.2580553 -0.2303676 5.368854
 [8,] -0.2863219 -0.2656332 -0.2518735 -0.2496453 5.378440
 [9,] -0.1516787 -0.2089931 -0.1992193 -0.4557171 5.120744
[10,] -0.2686569 -0.2580034 -0.2560351 -0.2441132 5.190150
[11,] -0.2693039 -0.2559890 -0.2508710 -0.2333648 5.125068
[12,] -0.1569902 -0.2061696 -0.1961563 -0.4330451 4.985677
# 
# Table B.11 -- interquartile
           [,1]       [,2]       [,3]      [,4]      [,5]
 [1,] 0.2902866 0.13904581 0.15049272 0.4769699 1.0912382
 [2,] 0.2749380 0.13845180 0.14074769 0.4969988 1.1978295
 [3,] 0.2684689 0.11959956 0.12922485 0.4679504 1.2337911
 [4,] 0.1970558 0.09607077 0.08876338 0.3380817 0.8385210
 [5,] 0.2070632 0.09837502 0.08626116 0.3465514 0.7825415
 [6,] 0.2066219 0.09253958 0.09188925 0.3403984 0.7504601
 [7,] 0.3351569 0.16827622 0.17464582 0.5557265 1.2208018
 [8,] 0.3344172 0.16926609 0.17416981 0.5731902 1.3256194
 [9,] 0.2560101 0.11336790 0.12140952 0.4604367 1.2331726
[10,] 0.2275631 0.11348873 0.10929089 0.3817611 0.8876669
[11,] 0.2253572 0.11231484 0.09914333 0.3828205 0.8009818
[12,] 0.1930371 0.08470185 0.08533686 0.3207608 0.7218393
